"","first.tt","last.tt"
"1",12.34,20.84
"2",14.9,20.11
"3",13.58,14.83
"4",11.94,19.85
"5",11.31,19.04
"6",10.86,18.13
"7",10.94,15.96
"8",12.8,19.66
"9",10.72,19.09
"10",12.03,20.06
"11",11.99,19.87
"12",12.44,19.35
"13",11.75,20.33
"14",12.47,16.24
"15",12.24,14.31
"16",10.72,19.15
"17",11.98,20.24
"18",10.54,19.05
"19",12.59,19.74
"20",11.27,19.93
"21",11.33,19.42
"22",11.23,19.58
"23",10.87,14.76
"24",12.29,20.28
"25",11.99,20.02
"26",12.91,14.34
"27",11.77,18.52
"28",11.17,19.76
"29",12.09,15.18
"30",11.83,17.91
"31",14.15,19.75
"32",10.9,19.29
"33",12.22,18.85
"34",11.72,19.66
"35",12.58,19.64
"36",10.03,18.09
"37",11.64,19.75
"38",11.96,20.36
"39",12.1,20.22
"40",12.3,14.41
"41",11.21,19.92
"42",11.65,19.23
"43",11.33,15.3
"44",11.98,15.25
"45",14.68,19.7
"46",12.6,19.19
"47",12.4,20.66
"48",12.35,21.2
"49",12.65,15.41
"50",13.15,16.24
"51",12.53,20.54
"52",12.06,20.53
"53",12.53,16.29
"54",11.91,20.59
"55",12.39,20.85
"56",12.91,20.57
"57",11.88,20.42
"58",11.9,20.58
"59",13.16,20.97
"60",12.45,20.33
"61",12.26,19.79
"62",12.02,13.86
"63",12.45,20.21
"64",10.37,18.69
"65",11.51,18.57
"66",9.77,18.48
"67",11.96,19.22
"68",10.46,18.96
"69",10.82,18.73
"70",10.35,18.83
"71",10.21,18.61
"72",12.51,13.82
"73",11.57,19.11
"74",12.43,20.41
"75",10.95,18.16
"76",10.78,18.78
"77",10.31,18.33
"78",9.75,18
"79",11.34,15.57
"80",10.2,18.31
"81",10.23,18.67
"82",10.72,19.29
"83",10.82,18.54
"84",11.13,18.98
"85",10.24,18.74
"86",12.19,14.24
"87",9.52,18.18
"88",12.52,14.99
"89",11.31,19.67
"90",9.62,13.45
"91",10.34,18.34
"92",10.74,19.38
"93",9.97,18.2
"94",9.47,18.45
"95",10.98,14.06
"96",11.92,20.17
"97",11.63,20.27
"98",9.94,13.84
"99",12.04,19.85
"100",10.75,19.28
"101",12.06,19.11
"102",10.13,18.44
"103",9.95,18.39
"104",12.74,21.45
"105",9.03,17.96
"106",10.48,18.34
"107",10.28,18.68
"108",10.28,18.46
"109",10.39,18.82
"110",9.95,18.52
"111",13.97,18.86
"112",10.21,18.61
"113",11.94,19.03
"114",10.39,19.23
"115",10.36,13.85
"116",10.79,18.73
"117",9.81,13.34
"118",9.87,18.42
"119",10.51,14.1
"120",11.35,17.85
"121",11.64,20.02
"122",12.16,20.68
"123",12.63,20.56
"124",11.69,20.37
"125",13,21.35
"126",11.72,15.36
"127",12.49,20.28
"128",12.94,18.46
"129",11.52,15.27
"130",12.34,19.59
"131",12.38,20.51
"132",11.56,18.84
"133",12.23,20.45
"134",12.31,16.15
"135",11.6,19.55
"136",11.54,19.72
"137",11.02,19.64
"138",11.82,15.16
"139",10.56,18.96
"140",12.99,19.04
"141",10.75,19.3
"142",13.91,19.86
"143",11.63,19.22
"144",10.68,19.14
"145",12.14,14.48
"146",11.56,19.67
"147",10.35,19.24
"148",11.25,19.95
"149",11.63,19.43
"150",11.52,19.47
"151",12.91,15.11
"152",0.51,8.56
"153",0.45,8.2
"154",3.68,11.79
"155",0.44,8.16
"156",0.82,8.33
"157",0.44,8.3
"158",0.69,8.3
"159",5.5,11.38
"160",0.15,8.27
"161",1.42,9.46
"162",0.31,8.31
"163",0.77,9.02
"164",0.17,8.3
"165",0.35,8.36
"166",1.1,9
"167",2.11,10.2
"168",1.07,8.57
"169",0.07,8.42
"170",12.52,19.06
"171",1.03,8.22
"172",1.67,8.65
"173",0.28,8.45
"174",0.38,8.33
"175",1.18,9.41
"176",1.39,8.28
"177",0.53,8.36
"178",0.59,8.35
"179",0.76,8.39
"180",2.12,8.93
"181",1.44,8.28
"182",5,12.64
"183",0.92,7.99
"184",2.56,8.33
"185",3.29,10.23
"186",0.2,7.98
"187",2.49,4.3
"188",10.64,12.98
"189",1.4,8.28
"190",3.95,10.83
"191",2.04,8.04
"192",6.23,11.75
"193",0.47,8.3
"194",1.22,3.47
"195",10.23,12.49
"196",2.6,9.52
"197",1.35,8.31
"198",3.41,11.32
"199",1.11,9.19
"200",0.23,8.18
"201",10.34,18.16
"202",1.57,9.47
"203",5.53,11.37
"204",4.66,8.59
"205",0.88,8.57
"206",8.02,14.77
"207",1.1,9.14
"208",1.67,9.35
"209",1.99,8.8
"210",0.28,8.22
"211",1.72,8.58
"212",1.55,8.53
"213",0.64,3.69
"214",7.37,14.49
"215",0.44,6.8
"216",2.47,5.53
"217",1.97,4.08
"218",1.02,7.8
"219",0.58,3.58
"220",6.37,14.37
"221",0.09,8.02
"222",2.29,8.2
"223",3.05,6.25
"224",3,8.89
"225",0.27,8.13
"226",4.12,11.75
"227",0.65,8.34
"228",3.18,4.39
"229",1.28,8.09
"230",2.03,9.7
"231",0.22,7.93
"232",1.3,8.26
"233",6.9,14.74
"234",0.27,7.95
"235",3.08,10.74
"236",3.31,8.05
"237",0.21,7.96
"238",2.97,8.7
"239",4.49,8.21
"240",4.62,8.1
"241",2.2,10.41
"242",2.73,10.64
"243",1.69,3.94
"244",1.25,8.4
"245",0.15,8.44
"246",0.33,3.27
"247",3.65,11.83
"248",0.36,3.96
"249",1.41,4.4
"250",1.46,8.38
"251",0.29,8.5
"252",5.89,13.44
"253",0.81,3.91
"254",3.68,10.43
"255",2.39,10.49
"256",0.12,8.53
"257",4.45,11.17
"258",0.11,8.54
"259",0.87,9.49
"260",1,4.44
"261",9.09,12.49
"262",1.51,9.44
"263",8.94,16.88
"264",1.29,9.4
"265",2.6,10.25
"266",2.41,9.46
"267",2.41,9.5
"268",1.23,4.66
"269",3.01,11.16
"270",2.54,9.56
"271",1.88,10.02
"272",0.85,9.36
"273",1.39,9.8
