"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"b0",-1.46020617648573,-1.26118100180292,-1.0759919776974,-1.26117108798652,0.0980185164025771,NA,0.0132990128951313,13.6,54,0.898326036003136,1.03283822109867
"b",0.0323834202608164,0.174247505627221,0.340343626772696,0.177090239510765,0.0781757592017698,NA,0.00676966712606165,8.7,133,0.762567395509897,1.00141240666443
"a",1.6346025414701,1.70526659700888,1.77189288533391,1.70465512252722,0.0349864863834252,NA,0.00483792304484187,13.8,52,0.902569572574903,1.03339326548626
"ph",0.445862881284257,0.522217674957806,0.6046250534798,0.524417295966076,0.0411187891856924,NA,0.000707834531853568,1.7,3375,0.0108334473371594,1.0012633084027
"v[1]",0.121784157215888,0.267938102917421,0.441449018352917,0.276430117350247,0.0838026876307616,NA,0.00119688890272582,1.4,4902,0.0196830490759312,1.00123556687426
"v[2]",0.372052296852909,0.662465594647405,1.01745024291464,0.675658407957679,0.169052827906248,NA,0.00272007911661665,1.6,3863,0.035149635030157,1.00004452731524
"v[3]",0.0450467207385656,0.457299025130617,1.10564090683364,0.513016744052766,0.301896148643863,NA,0.00488416918332276,1.6,3821,0.00024528436130784,1.000639256379
"v[4]",0.24144164179977,0.455137552555514,0.691740972247253,0.464452506617819,0.117515587030562,NA,0.00173951621872821,1.5,4564,0.0301295358103242,1.00310620428271
"v[5]",0.361875052795076,0.622982110044443,0.911923194676053,0.635094661159991,0.144145609401824,NA,0.00241193012358382,1.7,3572,0.0234401606200684,1.00095844646782
"v[6]",0.98676433821225,1.42605058630398,1.91176602798874,1.44165506304697,0.239160978515032,NA,0.00504573452032369,2.1,2247,0.0699791248040267,1.00025793818926
"v[7]",0.0571385614108361,0.22916930951667,0.462136807602059,0.24564527584016,0.110561551238413,NA,0.00157360800469555,1.4,4936,0.0077307535241792,1.00034840656872
"v[8]",0.96356129508463,1.375059193014,1.82703706847571,1.38746099929944,0.225801133775033,NA,0.00445279435763015,2,2572,0.0563389775099336,1.00058896330496
"v[9]",0.473780694739745,0.775112152008897,1.09261851169525,0.787082440458565,0.159127336208464,NA,0.00280528849193069,1.8,3218,0.0379619455479464,0.999960383544547
"v[10]",0.110355327819169,0.251086635383741,0.438427817736692,0.260781843161394,0.0862371263088027,NA,0.00117916914117207,1.4,5349,0.00258805363669566,0.999915737464119
"v[11]",0.594299916568186,0.918985214824384,1.26127576500807,0.930752310500575,0.172058009174178,NA,0.00290035628445924,1.7,3519,0.0341315376948212,1.0009042138792
"v[12]",0.124388159817806,0.289296135661963,0.502823154345376,0.301198586961913,0.101472853966641,NA,0.00161640793328884,1.6,3941,0.0242312250624638,1.00024497104164
